2.065604753000000983e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.098512704000000213e+03 8.134477138519287109e-01 5.900000000000000000e+01
2.116275568000000476e+03 1.838781833648681641e+00 1.360000000000000000e+02
2.124539729000000534e+03 8.461224579811096191e+01 4.448000000000000000e+03
2.132941629000000376e+03 1.402879223823547363e+02 7.024000000000000000e+03
2.137322792000000845e+03 1.403675370216369629e+02 7.030000000000000000e+03
2.143285695000000032e+03 1.480605239868164062e+02 7.434000000000000000e+03
2.160552302100000816e+03 1.599359209537506104e+02 8.088000000000000000e+03
2.169009202100000493e+03 2.606421797275543213e+02 1.277200000000000000e+04
2.173354796200000692e+03 2.607498393058776855e+02 1.277800000000000000e+04
2.179291828700000679e+03 2.693442022800445557e+02 1.318200000000000000e+04
2.195682302100000470e+03 2.829183526039123535e+02 1.384000000000000000e+04
2.204139202100000603e+03 3.705430693626403809e+02 1.803700000000000000e+04
2.208484796200000801e+03 3.706404039859771729e+02 1.804300000000000000e+04
2.216063996200000474e+03 4.773543081283569336e+02 2.324200000000000000e+04
2.217403122800000347e+03 4.811467576026916504e+02 2.340800000000000000e+04
2.217790132800000720e+03 4.883042976856231689e+02 2.376300000000000000e+04
2.217804132800000389e+03 5.296708440780639648e+02 2.612500000000000000e+04
2.225062196200000926e+03 5.337863433361053467e+02 2.633500000000000000e+04
2.232651396200000818e+03 5.581727945804595947e+02 2.747500000000000000e+04
2.234021522800000184e+03 5.618827443122863770e+02 2.764100000000000000e+04
2.238968196200000421e+03 5.968272609710693359e+02 2.954400000000000000e+04
2.243641196200000650e+03 5.969798724651336670e+02 2.955200000000000000e+04
2.251230396200000541e+03 6.212329883575439453e+02 3.069200000000000000e+04
2.252600522800000363e+03 6.249378910064697266e+02 3.085800000000000000e+04
2.256615422800000488e+03 7.237748150825500488e+02 3.573600000000000000e+04
2.258329022800000075e+03 7.282522583007812500e+02 3.597700000000000000e+04
2.258856859400000758e+03 7.296458642482757568e+02 3.605000000000000000e+04
2.259421922800000630e+03 7.617902898788452148e+02 3.788900000000000000e+04
2.259517822800000431e+03 8.286316423416137695e+02 4.086000000000000000e+04
2.264315916900000957e+03 8.288015575408935547e+02 4.086900000000000000e+04
2.265659416900000906e+03 8.534749860763549805e+02 4.198500000000000000e+04
2.270358253500000956e+03 8.548468127250671387e+02 4.205700000000000000e+04
2.273879458100000647e+03 8.795456633567810059e+02 4.315600000000000000e+04
2.277298753500000657e+03 9.373424983024597168e+02 4.615300000000000000e+04
